MAVBLCKSCTN,MAVFROMSTTNCODE,MAVTOSTTNCODE,MAVSUBSCTNNAME,MANINTRDIST,MANNUMBLINES,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MAVGAUGE,MAVTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MACFREZFLAG,MACFLAG,MACSDNGBLCKSCTN,MACFREZRUNTIME,MADRUNTIMEMDFYTIME,MAVRUNTIMEMDFYBY,MANCOABLCKSCTN,MAVSCTNCODE,MANSTATUS,MANRBSDISTANCE,MANICMSINTRDIST,MAVTRAFFICTYPE,MADVALIDFROM,MADVALIDTO,MANMAXSPEED,MAVDRTN,MANSIGNALNUMB,MAVSIGNALPOSN
CPP-BTVA,CPP,BTVA,NOT-EXIST,4.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,4.43,4.43,CG,15-Aug,31-Dec,130,DN,0,
BTVA-CPP,BTVA,CPP,NOT-EXIST,4.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,4.43,4.43,CG,15-Aug,31-Dec,130,UP,0,
HCM-TIU,HCM,TIU,NOT-EXIST,5.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,5.43,5.43,CG,15-Aug,31-Dec,130,UP,0,
TIU-HCM,TIU,HCM,NOT-EXIST,5.43,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,5.43,5.43,CG,15-Aug,31-Dec,130,DN,0,
GTLM-VZM,GTLM,VZM,VZM-SPRD,5.64,2,0,2,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,SPRD-VZM,1,5.64,5.64,CG,15-Aug,31-Dec,110,UP,0,
VZM-GTLM,VZM,GTLM,VZM-SPRD,5.64,2,0,2,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,1,VZM-SPRD,1,5.64,5.64,CG,15-Aug,31-Dec,110,DN,0,
DGB-NWP,DGB,NWP,NOT-EXIST,5.94,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,VSKP-PSA,1,5.94,5.94,CG,15-Aug,31-Dec,130,DN,0,
NWP-DGB,NWP,DGB,NOT-EXIST,5.94,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,30-Mar,WAT1,0,PSA-VSKP,1,5.94,5.94,CG,15-Aug,31-Dec,130,UP,0,
PUN-RMZ,PUN,RMZ,NOT-EXIST,6.23,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,0,PSA-VSKP,1,6.23,6.23,CG,15-Aug,31-Dec,130,UP,0,
RMZ-PUN,RMZ,PUN,NOT-EXIST,6.23,2,1,1,AB,B,E,WAT,15-Jul,WAT1,Y,N,N,Y,05-Apr,WAT1,0,VSKP-PSA,1,6.23,6.23,CG,15-Aug,31-Dec,130,DN,0,
