MAVBLCKSCTN,MANSEQNUMB,MAVLINENUMB,MANLINELENGTH,MAVLINECATEGORY,MANNUMBSGNL,MANNUMBLVLCRSG,MAVSGNLTYPE,MACGAUGE,MACTRTNTYPE,MAVDVSNCODE,MADMDFYTIME,MAVMDFYBY,MAVLINENAME,MANMAXSPEED,MAVDRTN
ALM-KPL,1,DN,9.23,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,1,130,
ALM-KPL,2,MID,9.23,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,2,130,
ALM-KPL,3,UP,9.23,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,NEWLINE,130,
ALM-KUK,1,DN,7.11,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,1,130,
ALM-KUK,2,MID,7.11,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,2,130,
ALM-KUK,3,UP,7.11,NRML,0,1,AT,B,E,WAT,15-Jul,WAT1,NEWLINE,130,
CHE-DUSI,1,DN,6.46,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
CHE-DUSI,2,UP,6.46,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
CHE-ULM,1,DN,10.04,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
CHE-ULM,2,UP,10.04,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
CPP-GVI,1,DN,6.57,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
CPP-GVI,2,UP,6.57,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
CPP-SGDM,1,DN,13.27,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,110,
CPP-SGDM,2,UP,13.27,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,110,
DUSI-CHE,1,DN,6.46,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
DUSI-CHE,2,UP,6.46,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
DUSI-PDU,1,DN,8.82,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
DUSI-PDU,2,UP,8.82,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
GTLM-VZM,1,DN,5.64,NRML,0,2,AB,B,E,WAT,31-Mar,WAT1,DN,110,
GTLM-VZM,2,UP,5.64,NRML,0,2,AB,B,E,WAT,31-Mar,WAT1,UP,110,
GVI-CPP,1,DN,6.57,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
GVI-CPP,2,UP,6.57,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
GVI-NML,1,DN,12.33,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,1,130,
GVI-NML,2,UP,12.33,NRML,0,1,AB,B,E,WAT,15-Jul,WAT1,2,130,
