MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MAVGRADETYPE,MANGRADEVALUE,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MAVAUTHORITY,MACSTATUS,MANDISTANCE,MANTIMELOSSPSGR,MANTIMELOSSGOODS
395446,VZM-NML,1,806,806,710,440,K,LEVEL,0,,25-Aug-20,WAT,Zone,O,270,0,0
394804,VZM-NML,1,806,806,90,440,K,FALL,350,,20-Aug-20,WAT,Zone,O,723,0,0
394805,VZM-NML,1,806,807,960,120,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,160,0,0
394806,VZM-NML,1,807,807,120,770,K,RISE,439,,20-Aug-20,WAT,Zone,O,650,0,0
394807,VZM-NML,1,807,808,770,90,K,RISE,337,,20-Aug-20,WAT,Zone,O,320,0,0
394808,VZM-NML,1,808,808,210,440,K,FALL,200,,20-Aug-20,WAT,Zone,O,230,0,0
394809,VZM-NML,1,808,808,440,690,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,250,0,0
394810,VZM-NML,1,808,809,690,140,K,RISE,200,,20-Aug-20,WAT,Zone,O,450,0,0
394811,VZM-NML,1,808,808,90,210,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,120,0,0
394812,VZM-NML,1,809,809,140,460,K,FALL,850,,20-Aug-20,WAT,Zone,O,320,0,0
394813,VZM-NML,1,809,809,460,660,K,FALL,400,,20-Aug-20,WAT,Zone,O,200,0,0
394814,VZM-NML,1,809,810,660,170,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,510,0,0
394815,VZM-NML,1,810,810,170,830,K,FALL,450,,20-Aug-20,WAT,Zone,O,660,0,0
394816,VZM-NML,1,810,811,830,450,K,FALL,300,,20-Aug-20,WAT,Zone,O,620,0,0
394817,VZM-NML,1,811,811,450,770,K,FALL,250,,20-Aug-20,WAT,Zone,O,320,0,0
394818,VZM-NML,1,811,812,770,620,K,FALL,400,,20-Aug-20,WAT,Zone,O,850,0,0
394819,VZM-NML,1,812,814,620,670,K,FALL,350,,20-Aug-20,WAT,Zone,O,2050,0,0
394820,VZM-NML,1,814,815,670,570,K,FALL,200,,20-Aug-20,WAT,Zone,O,900,0,0
394821,VZM-NML,1,815,815,570,940,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,370,0,0
394822,VZM-NML,1,815,816,940,190,K,RISE,300,,20-Aug-20,WAT,Zone,O,250,0,0
394823,VZM-NML,1,816,816,190,410,K,RISE,350,,20-Aug-20,WAT,Zone,O,220,0,0
394824,VZM-NML,1,816,816,410,560,K,RISE,200,,20-Aug-20,WAT,Zone,O,150,0,0
394825,VZM-NML,1,816,817,560,780,K,RISE,600,,20-Aug-20,WAT,Zone,O,1220,0,0
394826,VZM-NML,1,817,818,780,330,K,LEVEL,0,,20-Aug-20,WAT,Zone,O,550,0,0
70197,KTV-KPL,1,851,850,12,17,K,RISE,225,,05-Dec-19,WATDVSN1,Zone,O,950,0,0
