curve_id,section_id,gradient,curvature,division
BWS_C001,BWS_S10,6.893,0.001787,bhusaval
BWS_C002,BWS_S5,-4.267,0.003502,bhusaval
BWS_C003,BWS_S9,3.666,0.002708,bhusaval
BWS_C004,BWS_S11,-2.334,0.001922,bhusaval
BWS_C005,BWS_S17,3.966,0.0017,bhusaval
BWS_C006,BWS_S4,6.47,0.004006,bhusaval
BWS_C007,BWS_S18,4.845,0.004369,bhusaval
BWS_C008,BWS_S11,-0.538,0.001695,bhusaval
BWS_C009,BWS_S19,-2.672,0.002861,bhusaval
BWS_C010,BWS_S17,6.421,0.000883,bhusaval
BWS_C011,BWS_S15,-3.975,0.000801,bhusaval
BWS_C012,BWS_S16,4.295,0.004564,bhusaval
BWS_C013,BWS_S9,-4.162,0.002731,bhusaval
BWS_C014,BWS_S18,0.481,0.003995,bhusaval
