gate_id,section_id,gate_type,manned,division
BWS_G001,BWS_S6,Overbridge,no,bhusaval
BWS_G002,BWS_S6,Overbridge,no,bhusaval
BWS_G003,BWS_S10,Overbridge,yes,bhusaval
BWS_G004,BWS_S8,Level Crossing,yes,bhusaval
BWS_G005,BWS_S15,Foot Crossing,no,bhusaval
BWS_G006,BWS_S13,Level Crossing,no,bhusaval
BWS_G007,BWS_S13,Foot Crossing,yes,bhusaval
BWS_G008,BWS_S11,Level Crossing,yes,bhusaval
BWS_G009,BWS_S10,Foot Crossing,no,bhusaval
BWS_G010,BWS_S5,Level Crossing,yes,bhusaval
BWS_G011,BWS_S15,Foot Crossing,yes,bhusaval
