entry_id,section_id,rail_type,sleeper_type,condition,division
BWS_R001,BWS_S5,UIC60,Wooden,Poor,bhusaval
BWS_R002,BWS_S4,ASD34,Steel,Good,bhusaval
BWS_R003,BWS_S10,UIC60,Wooden,Poor,bhusaval
BWS_R004,BWS_S2,90R,Steel,Good,bhusaval
BWS_R005,BWS_S4,ASD34,Wooden,Poor,bhusaval
BWS_R006,BWS_S14,UIC60,PSC,Good,bhusaval
BWS_R007,BWS_S2,90R,Wooden,Poor,bhusaval
BWS_R008,BWS_S10,ASD34,Wooden,Poor,bhusaval
BWS_R009,BWS_S6,UIC60,Wooden,Poor,bhusaval
BWS_R010,BWS_S19,ASD34,Wooden,Good,bhusaval
BWS_R011,BWS_S2,ASD34,Wooden,Good,bhusaval
BWS_R012,BWS_S19,UIC60,Steel,Fair,bhusaval
