section_id,from_station_id,to_station_id,distance_km,division,max_speed
BWS_S1,BWS06,BWS07,5.29,bhusaval,80
BWS_S2,BWS09,BWS04,58.37,bhusaval,80
BWS_S3,BWS07,BWS08,60.99,bhusaval,100
BWS_S4,BWS01,BWS02,49.6,bhusaval,110
BWS_S5,BWS10,BWS11,34.14,bhusaval,110
BWS_S6,BWS03,BWS04,51.02,bhusaval,90
BWS_S7,BWS05,BWS06,42.57,bhusaval,80
BWS_S8,BWS01,BWS02,38.72,bhusaval,70
BWS_S9,BWS01,BWS02,56.49,bhusaval,100
BWS_S10,BWS10,BWS11,57.84,bhusaval,60
BWS_S11,BWS06,BWS02,71.83,bhusaval,80
BWS_S12,BWS04,BWS05,41.48,bhusaval,80
BWS_S13,BWS05,BWS06,64.06,bhusaval,120
BWS_S14,BWS13,BWS14,26.25,bhusaval,120
BWS_S15,BWS02,BWS05,12.09,bhusaval,90
BWS_S16,BWS04,BWS10,20.64,bhusaval,60
BWS_S17,BWS05,BWS13,27.47,bhusaval,80
BWS_S18,BWS01,BWS02,74.72,bhusaval,120
BWS_S19,BWS05,BWS06,72.88,bhusaval,90
BWS_S20,BWS06,BWS07,40.2,bhusaval,60
