train_no,train_name,from_station_id,to_station_id,departure,arrival,max_speed,division
BWS201,Bhusaval Express 1,BWS01,BWS06,18:00,23:32,80,bhusaval
BWS202,Bhusaval Express 2,BWS02,BWS08,17:25,00:27,90,bhusaval
BWS203,Bhusaval Express 3,BWS07,BWS11,17:20,23:22,90,bhusaval
BWS204,Bhusaval Express 4,BWS08,BWS13,06:40,13:22,110,bhusaval
BWS205,Bhusaval Express 5,BWS02,BWS05,15:30,17:35,80,bhusaval
BWS206,Bhusaval Express 6,BWS10,BWS13,12:55,19:42,120,bhusaval
BWS207,Bhusaval Express 7,BWS03,BWS06,13:35,15:08,120,bhusaval
BWS208,Bhusaval Express 8,BWS08,BWS14,18:35,00:23,120,bhusaval
BWS209,Bhusaval Express 9,BWS01,BWS07,08:05,15:40,120,bhusaval
BWS210,Bhusaval Express 10,BWS05,BWS09,20:05,23:04,100,bhusaval
BWS211,Bhusaval Express 11,BWS07,BWS13,07:35,12:49,80,bhusaval
BWS212,Bhusaval Express 12,BWS09,BWS15,07:55,14:51,110,bhusaval
BWS213,Bhusaval Express 13,BWS04,BWS07,19:15,01:11,120,bhusaval
BWS214,Bhusaval Express 14,BWS10,BWS14,19:05,22:56,110,bhusaval
BWS215,Bhusaval Express 15,BWS02,BWS05,04:30,10:34,100,bhusaval
BWS216,Bhusaval Express 16,BWS05,BWS08,13:50,15:55,100,bhusaval
