MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MANCURVEANGLE,MANCURVERADIUS,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MAVAUTHORITY,MACSTATUS,MANDISTANCE,MANTIMELOSSPSGR,MANTIMELOSSGOODS
129440,VZM-NML,1,807,806,234,777,K,1,1750,,25-Aug-20,WAT,Zone,O,402,0,0
129441,VZM-NML,1,808,807,78,654,K,2,875,,25-Aug-20,WAT,Zone,O,428,0,0
129442,VZM-NML,1,808,808,387,97,K,2.5,700,,25-Aug-20,WAT,Zone,O,290,0,0
129443,VZM-NML,1,809,808,457,718,K,0.5,3500,,25-Aug-20,WAT,Zone,O,801,0,0
129444,VZM-NML,1,811,810,340,235,K,3,583,,25-Aug-20,WAT,Zone,O,795,0,0
129445,VZM-NML,1,811,811,851,531,K,2,875,,25-Aug-20,WAT,Zone,O,320,0,0
129446,VZM-NML,1,815,815,639,149,K,2,875,,25-Aug-20,WAT,Zone,O,490,0,0
129447,VZM-NML,1,816,815,376,690,K,2,875,,25-Aug-20,WAT,Zone,O,688,0,0
129448,VZM-NML,1,817,817,602,152,K,2,875,,25-Aug-20,WAT,Zone,O,450,0,0
74154,KTV-KPL,1,848,885,848,135,K,2,875,,26-Apr-20,WAT,Zone,O,750,0,0
74155,KTV-KPL,1,852,818,852,718,K,1,1750,,26-Apr-20,WAT,Zone,O,100,0,0
74156,KTV-KPL,1,852,650,852,400,K,2,875,,26-Apr-20,WAT,Zone,O,250,0,0
74157,KPL-ALM,1,840,55,839,797,K,0.5,3500,,26-Apr-20,WAT,Zone,O,260,0,0
74158,KPL-ALM,1,836,331,836,51,K,1,1750,,26-Apr-20,WAT,Zone,O,280,0,0
74159,ALM-KUK,1,830,823,830,133,K,2,875,,26-Apr-20,WAT,Zone,O,690,0,0
74160,ALM-KUK,1,829,253,829,3,K,1,1750,,26-Apr-20,WAT,Zone,O,250,0,0
74161,ALM-KUK,1,829,725,829,425,K,1,1750,,26-Apr-20,WAT,Zone,O,300,0,0
74162,ALM-KUK,1,834,277,833,897,K,2,875,,26-Apr-20,WAT,Zone,O,380,0,0
74163,KUK-VZM,1,826,239,826,59,K,0.5,3500,,26-Apr-20,WAT,Zone,O,180,0,0
74164,KUK-VZM,1,827,180,826,856,K,2,875,,26-Apr-20,WAT,Zone,O,330,0,0
74165,KUK-VZM,1,825,846,825,666,K,0.5,3500,,26-Apr-20,WAT,Zone,O,180,0,0
74166,KUK-VZM,1,821,23,820,472,K,2,875,,26-Apr-20,WAT,Zone,O,550,0,0
74167,KUK-VZM,1,818,1044,818,624,K,2,875,,26-Apr-20,WAT,Zone,O,420,0,0
74168,KUK-VZM,1,828,805,828,485,K,1.5,1167,,26-Apr-20,WAT,Zone,O,320,0,0
74169,NML-GVI,1,806,152,805,793,K,2,875,,26-Apr-20,WAT,Zone,O,438,0,0
74170,NML-GVI,1,804,64,803,652,K,0.5,3500,,26-Apr-20,WAT,Zone,O,367,0,0
74171,NML-GVI,1,798,522,798,302,K,1,1750,,26-Apr-20,WAT,Zone,O,220,0,0
74172,NML-GVI,1,799,190,798,726,K,2,875,,26-Apr-20,WAT,Zone,O,459,0,0
74173,GVI-CPP,1,794,862,794,622,K,1,1750,,26-Apr-20,WAT,Zone,O,240,0,0
74174,GVI-CPP,1,793,550,793,330,K,1,1750,,26-Apr-20,WAT,Zone,O,220,0,0
74175,GVI-CPP,1,791,713,791,193,K,2,875,,26-Apr-20,WAT,Zone,O,520,0,0
74176,GVI-CPP,1,789,696,789,356,K,2,875,,26-Apr-20,WAT,Zone,O,340,0,0
74177,GVI-CPP,1,788,905,788,185,K,2,875,,26-Apr-20,WAT,Zone,O,720,0,0
74178,GVI-CPP,1,791,974,791,744,K,0.5,3500,,26-Apr-20,WAT,Zone,O,230,0,0
74179,CPP-SGDM,1,786,705,786,335,K,0.5,3500,,26-Apr-20,WAT,Zone,O,370,0,0
74180,CPP-SGDM,1,786,39,785,739,K,2,875,,26-Apr-20,WAT,Zone,O,307,0,0
74181,CPP-SGDM,1,782,746,782,346,K,2,875,,26-Apr-20,WAT,Zone,O,400,0,0
74182,CPP-SGDM,1,780,690,780,460,K,1.75,1000,,26-Apr-20,WAT,Zone,O,230,0,0
74183,CPP-SGDM,1,779,100,778,800,K,0.5,3500,,26-Apr-20,WAT,Zone,O,380,0,0
74184,CPP-SGDM,1,778,384,777,164,K,1,1750,,26-Apr-20,WAT,Zone,O,1150,0,0
74185,CPP-SGDM,1,775,934,775,654,K,0.5,3500,,26-Apr-20,WAT,Zone,O,280,0,0
74186,SGDM-PDU,1,773,3,772,845,K,0.75,2333,,26-Apr-20,WAT,Zone,O,181,0,0
74187,SGDM-PDU,1,770,132,769,709,K,0.5,3500,,26-Apr-20,WAT,Zone,O,389,0,0
74188,SGDM-PDU,1,769,292,768,901,K,0.5,3500,,26-Apr-20,WAT,Zone,O,379,0,0
74189,SGDM-PDU,1,765,498,765,248,K,0.5,3500,,26-Apr-20,WAT,Zone,O,250,0,0
