MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MANCURVEANGLE,MANCURVERADIUS,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MAVAUTHORITY,MACSTATUS,MANDISTANCE,MANTIMELOSSPSGR,MANTIMELOSSGOODS
10490,PSA-PUN,2,682,389,682,709,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,320,0,0
10491,PSA-PUN,2,686,827,687,275,K,2.5,700,,22-Nov-19,WAT-SHEET,DVSN,O,448,0,0
10492,PUN-NWP,2,692,877,693,227,K,2.5,700,,22-Nov-19,WAT-SHEET,DVSN,O,349,0,0
10493,PUN-NWP,2,678,884,678,1004,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10494,PUN-NWP,2,678,1033,679,107,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,119,0,0
10495,PUN-NWP,2,679,135,679,255,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10496,PUN-NWP,2,679,295,679,415,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10497,PUN-NWP,2,680,161,680,291,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,130,0,0
10498,PUN-NWP,2,680,321,680,451,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,130,0,0
10499,PUN-NWP,2,680,625,680,795,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,170,0,0
10500,PUN-NWP,2,680,823,681,182,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,350,0,0
10501,PUN-NWP,2,681,145,681,265,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10502,PUN-NWP,2,681,374,681,1054,K,2,875,,22-Nov-19,WAT-SHEET,DVSN,O,680,0,0
10503,PUN-NWP,2,682,363,682,693,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,330,0,0
10504,PUN-NWP,2,683,720,683,900,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,180,0,0
10505,PUN-NWP,2,686,821,687,270,K,2.5,700,,22-Nov-19,WAT-SHEET,DVSN,O,450,0,0
10506,PUN-NWP,2,690,695,690,815,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10507,PUN-NWP,2,690,825,690,925,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,100,0,0
10508,PUN-NWP,2,690,960,691,64,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,100,0,0
10509,PUN-NWP,2,691,101,691,201,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,100,0,0
10510,PUN-NWP,2,692,887,693,227,K,2.5,700,,22-Nov-19,WAT-SHEET,DVSN,O,339,0,0
10511,PUN-NWP,2,697,860,697,980,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10512,PUN-NWP,2,697,990,698,110,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,126,0,0
10513,PUN-NWP,2,700,440,700,560,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,120,0,0
10514,PUN-NWP,2,700,640,700,770,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,130,0,0
10515,NWP-KBM,2,705,649,706,22,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,374,0,0
10516,NWP-KBM,2,707,419,707,809,K,2,875,,22-Nov-19,WAT-SHEET,DVSN,O,390,0,0
10517,NWP-KBM,2,709,489,710,305,K,1.75,1000,,22-Nov-19,WAT-SHEET,DVSN,O,809,0,0
10518,NWP-KBM,2,713,726,714,666,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,945,0,0
10519,NWP-KBM,2,715,206,715,796,K,2,875,,22-Nov-19,WAT-SHEET,DVSN,O,590,0,0
10520,KBM-TIU,2,716,180,716,360,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,180,0,0
10521,KBM-TIU,2,716,412,716,593,K,0.5,3500,,22-Nov-19,WAT-SHEET,DVSN,O,181,0,0
10522,KBM-TIU,2,721,757,722,107,K,1,1750,,22-Nov-19,WAT-SHEET,DVSN,O,339,0,0
