MANBLCKPSRID,MAVBLCKSCTN,MANSEQNUMBER,MANFROMKM,MANTOKM,MAVFROMSUBKM,MAVTOSUBKM,MACKMOHEFLAG,MAVGRADETYPE,MANGRADEVALUE,MAVREMARKS,MADMDFYTIME,MAVMDFYBY,MAVAUTHORITY,MACSTATUS,MANDISTANCE,MANTIMELOSSPSGR,MANTIMELOSSGOODS
394841,CPP-GVI,2,787,788,14,19,O,LEVEL,0,,20-Aug-20,WAT,Zone,O,1050,0,0
394842,CPP-GVI,2,788,789,19,110,O,RISE,200,,20-Aug-20,WAT,Zone,O,910,0,0
394843,CPP-GVI,2,789,789,110,460,O,LEVEL,0,,20-Aug-20,WAT,Zone,O,350,0,0
394844,CPP-GVI,2,789,789,460,770,O,FALL,200,,20-Aug-20,WAT,Zone,O,310,0,0
394845,CPP-GVI,2,789,790,770,370,O,RISE,300,,20-Aug-20,WAT,Zone,O,600,0,0
394846,CPP-GVI,2,790,790,370,480,O,LEVEL,0,,20-Aug-20,WAT,Zone,O,110,0,0
394847,CPP-GVI,2,790,790,480,930,O,RISE,1000,,20-Aug-20,WAT,Zone,O,450,0,0
394848,CPP-GVI,2,790,792,590,140,O,RISE,400,,20-Aug-20,WAT,Zone,O,550,0,0
394849,CPP-GVI,2,790,791,930,590,O,RISE,300,,20-Aug-20,WAT,Zone,O,250,0,0
394850,CPP-GVI,2,792,793,140,620,O,RISE,1000,,20-Aug-20,WAT,Zone,O,1480,0,0
394851,CPP-GVI,2,793,794,620,100,O,RISE,400,,20-Aug-20,WAT,Zone,O,480,0,0
394852,CPP-GVI,2,794,794,100,680,O,RISE,150,,20-Aug-20,WAT,Zone,O,580,0,0
394853,CPP-GVI,2,794,796,680,630,O,RISE,400,,20-Aug-20,WAT,Zone,O,1950,0,0
394854,CPP-GVI,2,796,797,630,980,O,RISE,0,,20-Aug-20,WAT,Zone,O,1350,0,0
69513,VZM-KUK,3,825,826,21,31,K,FALL,200,,05-Dec-19,WATDVSN1,Zone,O,1100,0,0
69514,VZM-KUK,3,817,821,79,9,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,3300,0,0
69515,VZM-KUK,3,821,823,9,69,K,FALL,350,,05-Dec-19,WATDVSN1,Zone,O,2600,0,0
69516,VZM-KUK,3,823,825,69,21,K,FALL,200,,05-Dec-19,WATDVSN1,Zone,O,1520,0,0
69517,VZM-KUK,3,826,827,31,61,K,FALL,400,,05-Dec-19,WATDVSN1,Zone,O,1300,0,0
69518,VZM-KUK,3,827,828,61,61,K,FALL,150,,05-Dec-19,WATDVSN1,Zone,O,1000,0,0
69519,KUK-ALM,3,828,829,61,1,K,FALL,400,,05-Dec-19,WATDVSN1,Zone,O,400,0,0
69520,KUK-ALM,3,829,829,1,11,K,FALL,400,,05-Dec-19,WATDVSN1,Zone,O,100,0,0
69521,KUK-ALM,3,829,829,11,61,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,500,0,0
69522,KUK-ALM,3,829,829,61,91,K,FALL,200,,05-Dec-19,WATDVSN1,Zone,O,300,0,0
69523,KUK-ALM,3,829,830,91,16,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,250,0,0
69524,KUK-ALM,3,830,830,16,52,K,FALL,200,,05-Dec-19,WATDVSN1,Zone,O,360,0,0
69525,KUK-ALM,3,830,830,52,74,K,FALL,400,,05-Dec-19,WATDVSN1,Zone,O,220,0,0
69526,KUK-ALM,3,830,831,74,18,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,440,0,0
69527,KUK-ALM,3,831,831,18,35,K,FALL,100,,05-Dec-19,WATDVSN1,Zone,O,170,0,0
69528,KUK-ALM,3,831,831,35,59,K,FALL,250,,05-Dec-19,WATDVSN1,Zone,O,240,0,0
69529,KUK-ALM,3,831,831,59,79,K,FALL,800,,05-Dec-19,WATDVSN1,Zone,O,1200,0,0
69530,ALM-KPL,3,831,832,79,79,K,FALL,800,,05-Dec-19,WATDVSN1,Zone,O,1200,0,0
69531,ALM-KPL,3,832,831,79,18,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,440,0,0
69532,ALM-KPL,3,831,831,18,35,K,FALL,100,,05-Dec-19,WATDVSN1,Zone,O,170,0,0
69533,ALM-KPL,3,831,831,35,59,K,FALL,250,,05-Dec-19,WATDVSN1,Zone,O,240,0,0
69534,ALM-KPL,3,832,833,79,65,K,RISE,200,,05-Dec-19,WATDVSN1,Zone,O,860,0,0
69535,ALM-KPL,3,833,834,65,55,K,RISE,300,,05-Dec-19,WATDVSN1,Zone,O,900,0,0
69536,ALM-KPL,3,834,835,55,41,K,RISE,175,,05-Dec-19,WATDVSN1,Zone,O,860,0,0
69537,ALM-KPL,3,835,835,41,83,K,RISE,400,,05-Dec-19,WATDVSN1,Zone,O,420,0,0
69538,ALM-KPL,3,835,836,83,33,K,LEVEL,0,,05-Dec-19,WATDVSN1,Zone,O,500,0,0
69539,ALM-KPL,3,836,836,33,58,K,FALL,400,,05-Dec-19,WATDVSN1,Zone,O,250,0,0
69540,ALM-KPL,3,836,837,58,10,K,FALL,150,,05-Dec-19,WATDVSN1,Zone,O,520,0,0
69541,ALM-KPL,3,837,837,10,60,K,FALL,600,,05-Dec-19,WATDVSN1,Zone,O,500,0,0
69542,ALM-KPL,3,837,841,60,95,K,RISE,150,,05-Dec-19,WATDVSN1,Zone,O,4350,0,0
