SEQ_NO,ZONE_CODE,DIVISION_CODE,STATION_CODE,STATION_NAME,JUNC_FLAG,CABIN_FLAG,HALT_FLAG,IC_FLAG,FROZEN_FLAG,DVSNIC,FROM_STATION,TO_STATION,BLOCK_SECTION,REVERSE_BLOCK_SECTION,OPPBLCKSCTN,COABLCKSCTN,COARVSEBLCKSCTN,COAOPPBLCKSCTN,DISTANCE,COADISTANCE,CUM_DISTANCE,NO_SIGNAL,SIGNALTYPE,TRACTION,NOOFTRACKS,NOOFTRAIN,REVDISTANCE,DSPL_CUM_DIST,AVGDISTANCE
1,ECOR,WAT,KTV,KOTTAVALASA JN.,Y,N,N,N,N,N,KTV,KPL,KTV-KPL,,KPL-KTV,KTV-KPL,,KPL-KTV,7.74,7.74,0,0,AT,E,3,2,0,0,7.74
2,ECOR,WAT,KPL,KANTAKAPALLE,N,N,N,N,N,N,KPL,ALM,KPL-ALM,KPL-KTV,ALM-KPL,KPL-ALM,KPL-KTV,ALM-KPL,9.23,9.23,7.74,0,AT,E,3,2,-7.74,7.74,9.23
3,ECOR,WAT,ALM,ALAMANDA,N,N,N,N,Y,N,ALM,KUK,ALM-KUK,ALM-KPL,KUK-ALM,ALM-KUK,ALM-KPL,KUK-ALM,7.11,7.11,16.97,0,AT,E,3,1,-9.23,16.97,7.11
4,ECOR,WAT,KUK,KORU KONDA,N,N,N,N,Y,N,KUK,VZM,KUK-VZM,KUK-ALM,VZM-KUK,KUK-VZM,KUK-ALM,VZM-KUK,10.65,10.65,24.08,0,AT,E,3,2,-7.11,24.08,10.65
5,ECOR,WAT,VZM,VIZIANAGARAM JN.,Y,N,N,N,Y,N,VZM,NML,VZM-NML,VZM-KUK,NML-VZM,VZM-NML,VZM-KUK,NML-VZM,11.74,11.74,34.73,0,AB,E,2,3,-10.65,34.73,11.74
6,ECOR,WAT,NML,NELLIMARLA,N,N,N,N,Y,N,NML,GVI,NML-GVI,NML-VZM,GVI-NML,NML-GVI,NML-VZM,GVI-NML,12.33,12.33,46.47,0,AB,E,2,3,-11.74,46.47,12.33
7,ECOR,WAT,GVI,GARIVIDI,N,N,N,N,Y,N,GVI,CPP,GVI-CPP,GVI-NML,CPP-GVI,GVI-CPP,GVI-NML,CPP-GVI,6.57,6.57,58.8,0,AB,E,2,1,-12.33,58.8,6.57
8,ECOR,WAT,CPP,CHIPURUPALLE,N,N,N,N,Y,N,CPP,BTVA,CPP-BTVA,CPP-GVI,BTVA-CPP,CPP-SGDM,CPP-GVI,SGDM-CPP,4.43,13.27,65.37,0,AB,E,2,1,-6.57,65.37,4.43
9,ECOR,WAT,BTVA,BATUVA. P.H.,N,N,Y,N,Y,N,BTVA,SGDM,BTVA-SGDM,BTVA-CPP,SGDM-BTVA,CPP-SGDM,SGDM-CPP,SGDM-CPP,8.84,13.27,69.8,0,AB,E,2,2,-4.43,69.8,8.84
10,ECOR,WAT,SGDM,SIGADAM,N,N,N,N,Y,N,SGDM,PDU,SGDM-PDU,SGDM-BTVA,PDU-SGDM,SGDM-PDU,SGDM-CPP,PDU-SGDM,10.07,10.07,78.64,0,AB,E,2,2,-8.84,78.64,10.07
11,ECOR,WAT,PDU,PONDURU,N,N,N,N,Y,N,PDU,DUSI,PDU-DUSI,PDU-SGDM,DUSI-PDU,PDU-DUSI,PDU-SGDM,DUSI-PDU,8.82,8.82,88.71,0,AB,E,2,2,-10.07,88.71,8.82
12,ECOR,WAT,DUSI,DUSI,N,N,N,N,Y,N,DUSI,CHE,DUSI-CHE,DUSI-PDU,CHE-DUSI,DUSI-CHE,DUSI-PDU,CHE-DUSI,6.46,6.46,97.53,0,AB,E,2,1,-8.82,97.53,6.46
13,ECOR,WAT,CHE,SRIKAKULAM ROAD,N,N,N,N,Y,N,CHE,ULM,CHE-ULM,CHE-DUSI,ULM-CHE,CHE-ULM,CHE-DUSI,ULM-CHE,10.04,10.04,103.99,0,AB,E,2,2,-6.46,103.99,10.04
14,ECOR,WAT,ULM,URLAM,N,N,N,N,Y,N,ULM,TIU,ULM-TIU,ULM-CHE,TIU-ULM,ULM-TIU,ULM-CHE,TIU-ULM,9.63,9.63,114.03,0,AB,E,2,2,-10.04,114.03,9.63
15,ECOR,WAT,TIU,TILARU,N,N,N,N,Y,N,TIU,HCM,TIU-HCM,TIU-ULM,HCM-TIU,TIU-KBM,TIU-ULM,KBM-TIU,5.43,13.72,123.66,0,AB,E,2,1,-9.63,123.66,5.43
16,ECOR,WAT,HCM,HARISCHANDRAPURAM,N,N,Y,N,Y,N,HCM,KBM,HCM-KBM,HCM-TIU,KBM-HCM,TIU-KBM,KBM-TIU,KBM-TIU,8.29,13.72,129.09,0,AB,E,2,2,-5.43,129.09,8.29
17,ECOR,WAT,KBM,KOTABOMMALI,N,N,N,N,Y,N,KBM,DGB,KBM-DGB,KBM-HCM,DGB-KBM,KBM-NWP,KBM-TIU,NWP-KBM,7.98,13.92,137.38,0,AB,E,2,2,-8.29,137.38,7.98
18,ECOR,WAT,DGB,DANDU GOPALAPURAM HALT,N,N,Y,N,Y,N,DGB,NWP,DGB-NWP,DGB-KBM,NWP-DGB,KBM-NWP,NWP-KBM,NWP-KBM,5.94,13.92,145.36,0,AB,E,2,1,-7.98,145.36,5.94
19,ECOR,WAT,NWP,NAUPADA JN.,Y,N,N,N,Y,N,NWP,RMZ,NWP-RMZ,NWP-DGB,RMZ-NWP,NWP-PUN,NWP-KBM,PUN-NWP,7.01,13.24,151.3,0,AB,E,2,1,-5.94,151.3,7.01
