curve_id,section_id,gradient,curvature,division
MUM_C001,MUM_S7,-4.723,0.001011,mumbai
MUM_C002,MUM_S17,-4.369,0.004987,mumbai
MUM_C003,MUM_S13,1.387,0.000684,mumbai
MUM_C004,MUM_S4,4.693,0.003103,mumbai
MUM_C005,MUM_S9,6.397,0.002115,mumbai
MUM_C006,MUM_S10,-4.24,0.004422,mumbai
MUM_C007,MUM_S4,5.552,0.002973,mumbai
MUM_C008,MUM_S14,14.614,0.000568,mumbai
MUM_C009,MUM_S17,-1.968,0.002892,mumbai
MUM_C010,MUM_S19,10.25,0.00455,mumbai
MUM_C011,MUM_S15,3.292,0.000611,mumbai
MUM_C012,MUM_S1,12.361,0.002091,mumbai
MUM_C013,MUM_S18,8.161,0.000577,mumbai
MUM_C014,MUM_S16,3.753,0.001936,mumbai
