entry_id,section_id,etkm,itkm,division
MUM_E001,MUM_S16,456909.68,5536.76,mumbai
MUM_E002,MUM_S12,238450.26,46629.38,mumbai
MUM_E003,MUM_S8,620540.32,46299.0,mumbai
MUM_E004,MUM_S10,829057.83,102042.62,mumbai
MUM_E005,MUM_S14,326443.69,9310.83,mumbai
MUM_E006,MUM_S6,538492.88,83207.27,mumbai
MUM_E007,MUM_S4,783068.31,26452.17,mumbai
MUM_E008,MUM_S3,208403.92,10600.2,mumbai
MUM_E009,MUM_S4,343690.63,41811.99,mumbai
MUM_E010,MUM_S18,619441.4,117932.04,mumbai
MUM_E011,MUM_S19,317432.11,22172.16,mumbai
MUM_E012,MUM_S1,585204.35,71309.74,mumbai
MUM_E013,MUM_S15,645299.1,35349.04,mumbai
MUM_E014,MUM_S4,179495.57,11683.27,mumbai
MUM_E015,MUM_S2,505380.53,18588.18,mumbai
