entry_id,section_id,rail_type,sleeper_type,condition,division
MUM_R001,MUM_S15,90R,Steel,Fair,mumbai
MUM_R002,MUM_S17,ASD34,Steel,Good,mumbai
MUM_R003,MUM_S16,90R,Wooden,Poor,mumbai
MUM_R004,MUM_S6,ASD34,PSC,Poor,mumbai
MUM_R005,MUM_S4,90R,PSC,Fair,mumbai
MUM_R006,MUM_S11,ASD34,Steel,Fair,mumbai
MUM_R007,MUM_S16,UIC60,Wooden,Poor,mumbai
MUM_R008,MUM_S4,90R,Wooden,Good,mumbai
MUM_R009,MUM_S20,UIC60,Wooden,Good,mumbai
MUM_R010,MUM_S1,ASD34,PSC,Poor,mumbai
MUM_R011,MUM_S9,UIC60,Wooden,Good,mumbai
MUM_R012,MUM_S10,ASD34,Steel,Poor,mumbai
