section_id,from_station_id,to_station_id,distance_km,division,max_speed
MUM_S1,MUM14,MUM15,48.51,mumbai,80
MUM_S2,MUM02,MUM03,71.42,mumbai,100
MUM_S3,MUM03,MUM04,77.01,mumbai,100
MUM_S4,MUM12,MUM06,65.53,mumbai,70
MUM_S5,MUM02,MUM04,60.29,mumbai,120
MUM_S6,MUM09,MUM05,49.15,mumbai,100
MUM_S7,MUM03,MUM04,17.31,mumbai,120
MUM_S8,MUM14,MUM15,77.38,mumbai,80
MUM_S9,MUM09,MUM10,33.95,mumbai,60
MUM_S10,MUM01,MUM02,38.38,mumbai,90
MUM_S11,MUM13,MUM14,5.88,mumbai,110
MUM_S12,MUM06,MUM07,43.44,mumbai,60
MUM_S13,MUM08,MUM01,51.96,mumbai,80
MUM_S14,MUM13,MUM07,74.2,mumbai,100
MUM_S15,MUM04,MUM05,54.71,mumbai,60
MUM_S16,MUM09,MUM10,42.12,mumbai,80
MUM_S17,MUM04,MUM05,17.21,mumbai,70
MUM_S18,MUM09,MUM10,57.18,mumbai,70
MUM_S19,MUM01,MUM15,18.86,mumbai,100
MUM_S20,MUM13,MUM05,42.89,mumbai,90
