entry_id,section_id,etkm,itkm,division
NGP_E001,NGP_S8,963266.86,86724.21,nagpur
NGP_E002,NGP_S5,915018.45,125184.5,nagpur
NGP_E003,NGP_S8,812553.96,102009.3,nagpur
NGP_E004,NGP_S2,427059.2,23508.68,nagpur
NGP_E005,NGP_S5,979253.77,22456.81,nagpur
NGP_E006,NGP_S13,974534.16,64628.43,nagpur
NGP_E007,NGP_S12,190267.35,22814.16,nagpur
NGP_E008,NGP_S15,465253.11,47706.59,nagpur
NGP_E009,NGP_S16,908330.99,181107.59,nagpur
NGP_E010,NGP_S11,547094.56,22376.22,nagpur
NGP_E011,NGP_S8,786154.66,143605.48,nagpur
NGP_E012,NGP_S7,457187.15,17609.76,nagpur
NGP_E013,NGP_S6,831910.99,142258.0,nagpur
NGP_E014,NGP_S7,425897.45,7761.66,nagpur
NGP_E015,NGP_S2,755671.48,27120.57,nagpur
