section_id,from_station_id,to_station_id,distance_km,division,max_speed
NGP_S1,NGP09,NGP10,77.46,nagpur,80
NGP_S2,NGP13,NGP05,5.58,nagpur,120
NGP_S3,NGP03,NGP04,70.29,nagpur,110
NGP_S4,NGP03,NGP12,61.21,nagpur,120
NGP_S5,NGP14,NGP12,22.91,nagpur,80
NGP_S6,NGP14,NGP07,5.82,nagpur,120
NGP_S7,NGP09,NGP14,67.99,nagpur,120
NGP_S8,NGP05,NGP06,74.17,nagpur,60
NGP_S9,NGP11,NGP02,22.5,nagpur,70
NGP_S10,NGP01,NGP13,23.55,nagpur,110
NGP_S11,NGP03,NGP11,28.95,nagpur,70
NGP_S12,NGP01,NGP06,73.03,nagpur,90
NGP_S13,NGP04,NGP05,40.3,nagpur,120
NGP_S14,NGP13,NGP14,14.26,nagpur,120
NGP_S15,NGP07,NGP10,28.32,nagpur,70
NGP_S16,NGP07,NGP13,43.71,nagpur,120
NGP_S17,NGP12,NGP13,34.49,nagpur,100
NGP_S18,NGP11,NGP12,67.83,nagpur,120
NGP_S19,NGP02,NGP03,25.76,nagpur,80
NGP_S20,NGP11,NGP12,65.83,nagpur,110
