signal_id,section_id,signal_type,position_km,division
NGP_SIG001,NGP_S20,Colour Light,74.422,nagpur
NGP_SIG002,NGP_S19,Semaphore,62.797,nagpur
NGP_SIG003,NGP_S2,Colour Light,69.549,nagpur
NGP_SIG004,NGP_S10,Colour Light,77.682,nagpur
NGP_SIG005,NGP_S2,Colour Light,59.396,nagpur
NGP_SIG006,NGP_S4,Automatic Block,65.391,nagpur
NGP_SIG007,NGP_S17,Automatic Block,45.054,nagpur
NGP_SIG008,NGP_S8,Automatic Block,29.156,nagpur
NGP_SIG009,NGP_S5,Automatic Block,31.48,nagpur
NGP_SIG010,NGP_S5,Semaphore,50.731,nagpur
NGP_SIG011,NGP_S16,Colour Light,67.257,nagpur
NGP_SIG012,NGP_S15,Automatic Block,75.826,nagpur
NGP_SIG013,NGP_S10,Colour Light,11.951,nagpur
