station_id,station_name,lat,lon,division
NGP01,Nagpur Station 01,21.100682,79.208252,nagpur
NGP02,Nagpur Station 02,21.061997,79.244992,nagpur
NGP03,Nagpur Station 03,20.968078,79.060104,nagpur
NGP04,Nagpur Station 04,21.225468,79.17994,nagpur
NGP05,Nagpur Station 05,20.970096,78.949655,nagpur
NGP06,Nagpur Station 06,20.991286,79.111656,nagpur
NGP07,Nagpur Station 07,20.999897,79.050894,nagpur
NGP08,Nagpur Station 08,21.067402,78.945092,nagpur
NGP09,Nagpur Station 09,21.10069,79.064984,nagpur
NGP10,Nagpur Station 10,21.174012,79.032498,nagpur
NGP11,Nagpur Station 11,20.990603,79.026628,nagpur
NGP12,Nagpur Station 12,21.215676,78.909488,nagpur
NGP13,Nagpur Station 13,21.153659,78.915228,nagpur
NGP14,Nagpur Station 14,21.276917,78.978998,nagpur
NGP15,Nagpur Station 15,21.157902,78.941093,nagpur
