train_no,train_name,from_station_id,to_station_id,departure,arrival,max_speed,division
NGP201,Nagpur Express 1,NGP07,NGP13,12:05,16:23,100,nagpur
NGP202,Nagpur Express 2,NGP05,NGP11,04:40,10:13,120,nagpur
NGP203,Nagpur Express 3,NGP06,NGP12,13:10,17:01,120,nagpur
NGP204,Nagpur Express 4,NGP03,NGP07,09:25,16:51,80,nagpur
NGP205,Nagpur Express 5,NGP06,NGP10,11:30,17:29,90,nagpur
NGP206,Nagpur Express 6,NGP06,NGP09,18:50,00:57,100,nagpur
NGP207,Nagpur Express 7,NGP02,NGP05,19:50,02:47,110,nagpur
NGP208,Nagpur Express 8,NGP02,NGP06,13:45,16:23,120,nagpur
NGP209,Nagpur Express 9,NGP05,NGP09,13:10,18:45,110,nagpur
NGP210,Nagpur Express 10,NGP03,NGP06,15:05,16:15,90,nagpur
NGP211,Nagpur Express 11,NGP10,NGP14,05:05,12:24,120,nagpur
NGP212,Nagpur Express 12,NGP03,NGP08,14:05,15:13,80,nagpur
NGP213,Nagpur Express 13,NGP05,NGP11,08:35,12:12,110,nagpur
NGP214,Nagpur Express 14,NGP07,NGP12,19:10,21:15,80,nagpur
NGP215,Nagpur Express 15,NGP11,NGP15,21:30,01:25,110,nagpur
NGP216,Nagpur Express 16,NGP07,NGP10,04:55,08:03,120,nagpur
