SEQ_NO,ZONE_CODE,DIVISION_CODE,STATION_CODE,STATION_NAME,JUNC_FLAG,CABIN_FLAG,HALT_FLAG,IC_FLAG,FROZEN_FLAG,DVSNIC,FROM_STATION,TO_STATION,BLOCK_SECTION,REVERSE_BLOCK_SECTION,OPPBLCKSCTN,COABLCKSCTN,COARVSEBLCKSCTN,COAOPPBLCKSCTN,DISTANCE,COADISTANCE,CUM_DISTANCE,NO_SIGNAL,SIGNALTYPE,TRACTION,NOOFTRACKS,NOOFTRAIN,REVDISTANCE,DSPL_CUM_DIST,AVGDISTANCE
1,ECOR,KUR,PSA,PALASA,N,N,N,Y,N,Y,PSA,PUN,PSA-PUN,,PUN-PSA,PSA-PUN,,PUN-PSA,12.29,12.29,0,0,AB,E,2,3,0,0,12.29
2,ECOR,WAT,PUN,PUNDI,N,N,N,N,Y,N,PUN,RMZ,PUN-RMZ,PUN-PSA,RMZ-PUN,PUN-NWP,PUN-PSA,NWP-PUN,6.23,13.24,12.29,0,AB,E,2,1,-12.29,12.29,6.23
3,ECOR,WAT,RMZ,ROUTHPURAM HALT,N,N,Y,N,Y,N,RMZ,NWP,RMZ-NWP,RMZ-PUN,NWP-RMZ,PUN-NWP,NWP-PUN,NWP-PUN,7.01,13.24,18.52,0,AB,E,2,1,-6.23,18.52,7.01
4,ECOR,WAT,NWP,NAUPADA JN.,Y,N,N,N,Y,N,NWP,DGB,NWP-DGB,NWP-RMZ,DGB-NWP,NWP-KBM,NWP-PUN,KBM-NWP,5.94,13.91,25.53,0,AB,E,2,1,-7.01,25.53,5.94
5,ECOR,WAT,DGB,DANDU GOPALAPURAM HALT,N,N,Y,N,Y,N,DGB,KBM,DGB-KBM,DGB-NWP,KBM-DGB,NWP-KBM,KBM-NWP,KBM-NWP,7.97,13.91,31.47,0,AB,E,2,2,-5.94,31.47,7.98
6,ECOR,WAT,KBM,KOTABOMMALI,N,N,N,N,Y,N,KBM,HCM,KBM-HCM,KBM-DGB,HCM-KBM,KBM-TIU,KBM-NWP,TIU-KBM,8.29,13.72,39.44,0,AB,E,2,2,-7.97,39.44,8.29
7,ECOR,WAT,HCM,HARISCHANDRAPURAM,N,N,Y,N,Y,N,HCM,TIU,HCM-TIU,HCM-KBM,TIU-HCM,KBM-TIU,TIU-KBM,TIU-KBM,5.43,13.72,47.73,0,AB,E,2,1,-8.29,47.73,5.43
8,ECOR,WAT,TIU,TILARU,N,N,N,N,Y,N,TIU,ULM,TIU-ULM,TIU-HCM,ULM-TIU,TIU-ULM,TIU-KBM,ULM-TIU,9.63,9.63,53.16,0,AB,E,2,2,-5.43,53.16,9.63
9,ECOR,WAT,ULM,URLAM,N,N,N,N,Y,N,ULM,CHE,ULM-CHE,ULM-TIU,CHE-ULM,ULM-CHE,ULM-TIU,CHE-ULM,10.04,10.04,62.79,0,AB,E,2,2,-9.63,62.79,10.04
10,ECOR,WAT,CHE,SRIKAKULAM ROAD,N,N,N,N,Y,N,CHE,DUSI,CHE-DUSI,CHE-ULM,DUSI-CHE,CHE-DUSI,CHE-ULM,DUSI-CHE,6.46,6.46,72.83,0,AB,E,2,1,-10.04,72.83,6.46
11,ECOR,WAT,DUSI,DUSI,N,N,N,N,Y,N,DUSI,PDU,DUSI-PDU,DUSI-CHE,PDU-DUSI,DUSI-PDU,DUSI-CHE,PDU-DUSI,8.82,8.82,79.29,0,AB,E,2,2,-6.46,79.29,8.82
12,ECOR,WAT,PDU,PONDURU,N,N,N,N,Y,N,PDU,SGDM,PDU-SGDM,PDU-DUSI,SGDM-PDU,PDU-SGDM,PDU-DUSI,SGDM-PDU,10.07,10.07,88.11,0,AB,E,2,2,-8.82,88.11,10.07
13,ECOR,WAT,SGDM,SIGADAM,N,N,N,N,Y,N,SGDM,BTVA,SGDM-BTVA,SGDM-PDU,BTVA-SGDM,SGDM-CPP,SGDM-PDU,CPP-SGDM,8.83,13.26,98.18,0,AB,E,2,2,-10.07,98.18,8.84
14,ECOR,WAT,BTVA,BATUVA. P.H.,N,N,Y,N,Y,N,BTVA,CPP,BTVA-CPP,BTVA-SGDM,CPP-BTVA,SGDM-CPP,CPP-SGDM,CPP-SGDM,4.43,13.26,107.01,0,AB,E,2,1,-8.83,107.01,4.43
15,ECOR,WAT,CPP,CHIPURUPALLE,N,N,N,N,Y,N,CPP,GVI,CPP-GVI,CPP-BTVA,GVI-CPP,CPP-GVI,CPP-SGDM,GVI-CPP,6.57,6.57,111.44,0,AB,E,2,1,-4.43,111.44,6.57
16,ECOR,WAT,GVI,GARIVIDI,N,N,N,N,Y,N,GVI,NML,GVI-NML,GVI-CPP,NML-GVI,GVI-NML,GVI-CPP,NML-GVI,12.33,12.33,118.01,0,AB,E,2,3,-6.57,118.01,12.33
17,ECOR,WAT,NML,NELLIMARLA,N,N,N,N,Y,N,NML,VZM,NML-VZM,NML-GVI,VZM-NML,NML-VZM,NML-GVI,VZM-NML,11.74,11.74,130.34,0,AB,E,2,3,-12.33,130.34,11.74
18,ECOR,WAT,VZM,VIZIANAGARAM JN.,Y,N,N,N,Y,N,VZM,KUK,VZM-KUK,VZM-NML,KUK-VZM,VZM-KUK,VZM-NML,KUK-VZM,10.65,10.65,142.08,0,AT,E,3,2,-11.74,142.08,10.65
19,ECOR,WAT,KUK,KORU KONDA,N,N,N,N,Y,N,KUK,ALM,KUK-ALM,KUK-VZM,ALM-KUK,KUK-ALM,KUK-VZM,ALM-KUK,7.11,7.11,152.73,0,AT,E,3,1,-10.65,152.73,7.11
20,ECOR,WAT,ALM,ALAMANDA,N,N,N,N,Y,N,ALM,KPL,ALM-KPL,ALM-KUK,KPL-ALM,ALM-KPL,ALM-KUK,KPL-ALM,9.23,9.23,159.84,0,AT,E,3,2,-7.11,159.84,9.23
21,ECOR,WAT,KPL,KANTAKAPALLE,N,N,N,N,N,N,KPL,KTV,KPL-KTV,KPL-ALM,KTV-KPL,KPL-KTV,KPL-ALM,KTV-KPL,7.74,7.74,169.07,0,AT,E,3,2,-9.23,169.07,7.74
22,ECOR,WAT,KTV,KOTTAVALASA JN.,Y,N,N,N,N,N,,,,KTV-KPL,,,KTV-KPL,,0,0,176.81,0,,D,0,1,-7.74,176.81,5
