curve_id,section_id,gradient,curvature,division
PNE_C001,PNE_S12,3.861,0.001884,pune
PNE_C002,PNE_S2,4.231,0.002954,pune
PNE_C003,PNE_S4,11.232,0.002831,pune
PNE_C004,PNE_S14,11.124,0.004557,pune
PNE_C005,PNE_S3,-1.692,0.001196,pune
PNE_C006,PNE_S19,3.767,0.004917,pune
PNE_C007,PNE_S14,1.535,0.002046,pune
PNE_C008,PNE_S18,5.936,0.001688,pune
PNE_C009,PNE_S11,3.48,0.001308,pune
PNE_C010,PNE_S8,4.78,0.003791,pune
PNE_C011,PNE_S19,5.715,0.002023,pune
PNE_C012,PNE_S18,1.403,0.004024,pune
PNE_C013,PNE_S12,14.714,0.002981,pune
PNE_C014,PNE_S10,8.815,0.002892,pune
