entry_id,section_id,etkm,itkm,division
PNE_E001,PNE_S12,143070.34,6454.61,pune
PNE_E002,PNE_S10,408563.74,43540.97,pune
PNE_E003,PNE_S3,458521.82,56257.2,pune
PNE_E004,PNE_S12,386696.05,70771.14,pune
PNE_E005,PNE_S4,569900.11,87312.69,pune
PNE_E006,PNE_S3,678353.95,117454.31,pune
PNE_E007,PNE_S18,176096.27,2961.15,pune
PNE_E008,PNE_S6,320784.75,63040.42,pune
PNE_E009,PNE_S8,512831.98,72845.27,pune
PNE_E010,PNE_S20,733767.95,98562.83,pune
PNE_E011,PNE_S20,119193.14,17062.3,pune
PNE_E012,PNE_S5,666171.32,112509.35,pune
PNE_E013,PNE_S13,721419.39,99820.57,pune
PNE_E014,PNE_S3,34551.49,2430.64,pune
PNE_E015,PNE_S4,313985.45,14967.42,pune
