entry_id,section_id,rail_type,sleeper_type,condition,division
PNE_R001,PNE_S17,UIC60,Steel,Poor,pune
PNE_R002,PNE_S3,ASD34,PSC,Poor,pune
PNE_R003,PNE_S14,ASD34,Steel,Good,pune
PNE_R004,PNE_S19,UIC60,Steel,Good,pune
PNE_R005,PNE_S20,90R,Wooden,Good,pune
PNE_R006,PNE_S5,ASD34,Steel,Poor,pune
PNE_R007,PNE_S7,ASD34,Wooden,Good,pune
PNE_R008,PNE_S14,ASD34,PSC,Fair,pune
PNE_R009,PNE_S8,ASD34,Steel,Fair,pune
PNE_R010,PNE_S16,90R,Steel,Fair,pune
PNE_R011,PNE_S8,ASD34,PSC,Good,pune
PNE_R012,PNE_S14,UIC60,Steel,Poor,pune
