train_no,train_name,from_station_id,to_station_id,departure,arrival,max_speed,division
PNE201,Pune Express 1,PNE02,PNE06,09:10,11:39,80,pune
PNE202,Pune Express 2,PNE02,PNE06,04:00,07:13,80,pune
PNE203,Pune Express 3,PNE09,PNE14,04:35,10:46,120,pune
PNE204,Pune Express 4,PNE04,PNE09,06:00,07:06,110,pune
PNE205,Pune Express 5,PNE02,PNE07,18:05,19:42,110,pune
PNE206,Pune Express 6,PNE03,PNE09,14:35,21:53,90,pune
PNE207,Pune Express 7,PNE11,PNE15,11:30,13:43,110,pune
PNE208,Pune Express 8,PNE11,PNE15,11:30,12:37,110,pune
PNE209,Pune Express 9,PNE06,PNE09,19:25,21:26,120,pune
PNE210,Pune Express 10,PNE05,PNE08,20:15,21:28,80,pune
PNE211,Pune Express 11,PNE07,PNE12,21:35,04:07,90,pune
PNE212,Pune Express 12,PNE04,PNE09,17:00,19:15,80,pune
PNE213,Pune Express 13,PNE03,PNE09,11:05,13:41,110,pune
PNE214,Pune Express 14,PNE11,PNE14,10:45,15:33,110,pune
PNE215,Pune Express 15,PNE09,PNE14,22:30,03:05,100,pune
PNE216,Pune Express 16,PNE07,PNE10,09:50,16:54,80,pune
