curve_id,section_id,gradient,curvature,division
SLP_C001,SLP_S6,1.195,0.000961,solapur
SLP_C002,SLP_S18,3.439,0.003035,solapur
SLP_C003,SLP_S7,5.997,0.004578,solapur
SLP_C004,SLP_S20,1.534,0.000573,solapur
SLP_C005,SLP_S6,5.108,0.002425,solapur
SLP_C006,SLP_S16,-3.176,0.003305,solapur
SLP_C007,SLP_S12,6.689,0.002627,solapur
SLP_C008,SLP_S19,3.871,0.001865,solapur
SLP_C009,SLP_S16,12.187,0.00383,solapur
SLP_C010,SLP_S16,9.903,0.002182,solapur
SLP_C011,SLP_S2,12.605,0.00409,solapur
SLP_C012,SLP_S3,13.185,0.004919,solapur
SLP_C013,SLP_S2,-4.944,0.004463,solapur
SLP_C014,SLP_S15,-4.841,0.00352,solapur
