entry_id,section_id,etkm,itkm,division
SLP_E001,SLP_S1,973971.2,152420.05,solapur
SLP_E002,SLP_S18,561683.0,54943.92,solapur
SLP_E003,SLP_S1,614445.32,80145.4,solapur
SLP_E004,SLP_S10,701984.01,61282.6,solapur
SLP_E005,SLP_S6,106418.76,8167.81,solapur
SLP_E006,SLP_S2,536414.19,45723.84,solapur
SLP_E007,SLP_S11,971720.62,188344.84,solapur
SLP_E008,SLP_S1,361874.35,12269.6,solapur
SLP_E009,SLP_S15,684398.63,29247.31,solapur
SLP_E010,SLP_S11,69722.34,10851.18,solapur
SLP_E011,SLP_S4,69785.12,9709.31,solapur
SLP_E012,SLP_S18,760279.42,133029.46,solapur
SLP_E013,SLP_S15,154530.25,6577.98,solapur
SLP_E014,SLP_S20,446798.0,15821.99,solapur
SLP_E015,SLP_S18,980718.01,139648.45,solapur
