section_id,from_station_id,to_station_id,distance_km,division,max_speed
SLP_S1,SLP06,SLP01,78.15,solapur,80
SLP_S2,SLP08,SLP14,26.98,solapur,80
SLP_S3,SLP05,SLP13,79.07,solapur,120
SLP_S4,SLP12,SLP13,79.36,solapur,110
SLP_S5,SLP12,SLP15,57.85,solapur,120
SLP_S6,SLP10,SLP06,18.14,solapur,90
SLP_S7,SLP06,SLP07,59.75,solapur,100
SLP_S8,SLP04,SLP07,41.26,solapur,60
SLP_S9,SLP09,SLP06,67.42,solapur,70
SLP_S10,SLP01,SLP02,49.75,solapur,100
SLP_S11,SLP12,SLP13,49.91,solapur,90
SLP_S12,SLP09,SLP07,11.65,solapur,100
SLP_S13,SLP04,SLP05,78.91,solapur,70
SLP_S14,SLP07,SLP10,15.07,solapur,70
SLP_S15,SLP03,SLP04,68.59,solapur,120
SLP_S16,SLP08,SLP09,26.07,solapur,110
SLP_S17,SLP01,SLP02,9.55,solapur,70
SLP_S18,SLP08,SLP04,43.65,solapur,70
SLP_S19,SLP12,SLP11,61.57,solapur,90
SLP_S20,SLP03,SLP04,44.6,solapur,120
