signal_id,section_id,signal_type,position_km,division
SLP_SIG001,SLP_S1,Colour Light,21.91,solapur
SLP_SIG002,SLP_S4,Colour Light,10.499,solapur
SLP_SIG003,SLP_S8,Colour Light,20.676,solapur
SLP_SIG004,SLP_S10,Automatic Block,77.748,solapur
SLP_SIG005,SLP_S3,Semaphore,60.229,solapur
SLP_SIG006,SLP_S11,Automatic Block,35.674,solapur
SLP_SIG007,SLP_S8,Colour Light,76.04,solapur
SLP_SIG008,SLP_S12,Colour Light,44.341,solapur
SLP_SIG009,SLP_S14,Colour Light,42.056,solapur
SLP_SIG010,SLP_S4,Colour Light,50.651,solapur
SLP_SIG011,SLP_S4,Colour Light,5.778,solapur
SLP_SIG012,SLP_S12,Automatic Block,47.263,solapur
SLP_SIG013,SLP_S10,Automatic Block,55.53,solapur
