MAVSTTNCODE,MANSEQNUMB,MAVLINENUMB,MAVLINETYPE,MACLINECATEGORY,MANLINELENGTH,MAVDRTN,MANNUMBTRAINALLWD,MANCAPACITY,MACGAUGE,MACTRTNTYPE,MADMDFYTIME,MAVMDFYBY,MAVLINENAME,MANSTARTBUFFER,MANENDBUFFER,MANCSR,MANLINESPEED,MACPLATFORM
ALM,1,1,RL,L,782,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,782,15,Y
ALM,2,2,RL,M,722,DN,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,722,100,Y
ALM,3,3,RL,M,758,BOTH,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,758,100,Y
ALM,4,4,RL,M,750,UP,1,35,B,E,25-May,SCTN - WAT1,PF4,3600,3600,750,100,Y
ALM,5,5,RL,L,732,UP,1,24,B,E,25-May,SCTN - WAT1,PF5,3600,3600,732,15,Y
BTVA,1,1,RL,M,1,BOTH,1,1,B,E,25-May,SCTN - WAT1,1,0,0,0,100,N
BTVA,2,2,RL,M,1,BOTH,1,0,B,E,24-Jun,SATS,2,0,0,0,110,N
CHE,1,1,RL,L,764,DN,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,764,15,Y
CHE,2,2,RL,M,811,DN,1,24,B,E,25-May,SCTN - WAT1,PF2,3600,3600,811,100,Y
CHE,3,3,RL,M,1138,UP,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,1338,100,Y
CHE,4,4,RL,L,1111,BOTH,1,35,B,E,25-May,SCTN - WAT1,PF4,3600,3600,1111,15,Y
CHE,5,5,RL,L,1088,BOTH,1,24,B,E,25-May,SCTN - WAT1,5,3600,3600,1088,15,N
CPP,1,1,RL,L,390,DN,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,390,15,Y
CPP,2,2,RL,M,680,DN,1,35,B,E,25-May,SCTN - WAT1,2,3600,3600,680,100,N
CPP,3,3,RL,M,760,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,760,100,Y
CPP,4,4,RL,L,817,UP,1,24,B,E,25-May,SCTN - WAT1,PF3,3600,3600,817,15,Y
CPP,5,5,RL,L,857,BOTH,1,24,B,E,25-May,SCTN - WAT1,5,3600,3600,857,15,N
DGB,1,1,RL,M,1,BOTH,1,1,B,E,25-May,SCTN - WAT1,1,0,0,0,100,N
DGB,2,2,RL,M,1,BOTH,1,0,B,E,24-Jun,SATS,2,0,0,0,110,N
DUSI,1,4,RL,M,730,DN,1,24,B,E,25-May,SCTN - WAT1,4,3600,3600,730,100,N
DUSI,2,3,RL,L,697,DN,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,697,15,Y
DUSI,3,2,RL,L,691,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,691,15,Y
DUSI,4,1,RL,M,746,UP,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,746,100,Y
GVI,1,1,RL,L,748,DN,1,0,B,E,25-May,SCTN - WAT1,1,3600,3600,748,15,Y
GVI,2,2,RL,M,764,DN,1,0,B,E,25-May,SCTN - WAT1,2,3600,3600,764,100,Y
GVI,3,3,RL,M,694,UP,1,0,B,E,25-May,SCTN - WAT1,3,3600,3600,694,100,Y
GVI,4,4,RL,L,690,BOTH,1,0,B,E,25-May,SCTN - WAT1,4,3600,3600,690,15,Y
HCM,1,1,RL,M,1,BOTH,1,1,B,E,25-May,SCTN - WAT1,1,0,0,0,100,N
HCM,2,2,RL,M,1,BOTH,1,0,B,E,24-Jun,SATS,2,0,0,0,110,N
KBM,1,1,RL,L,760,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,760,15,Y
KBM,2,2,RL,M,735,DN,1,35,B,E,25-May,SCTN - WAT1,2,3600,3600,735,100,N
KBM,3,3,RL,M,787,UP,1,35,B,E,25-May,SCTN - WAT1,PF-2,3600,3600,787,100,Y
KBM,4,4,RL,L,724,UP,1,24,B,E,25-May,SCTN - WAT1,PF-3,3600,3600,724,15,Y
KPL,1,1,RL,L,817,DN,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,817,15,Y
KPL,2,2,RL,M,810,DN,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,810,100,Y
KPL,3,3,RL,M,723,BOTH,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,723,100,Y
KPL,4,4,RL,M,724,UP,1,35,B,E,25-May,SCTN - WAT1,PF4,3600,3600,724,100,Y
KPL,5,5,RL,L,742,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF5,3600,3600,742,15,Y
KPL,6,6,RL,L,727,BOTH,1,24,B,E,25-May,SCTN - WAT1,6,3600,3600,727,15,N
KTV,1,9,RL,L,742,BOTH,1,24,B,E,25-Apr,ECORZN4,PF6,3600,3600,742,15,Y
KTV,2,8,RL,L,763,BOTH,1,35,B,E,25-Apr,ECORZN4,8,3600,3600,763,15,N
KTV,3,7,RL,L,754,BOTH,1,35,B,E,25-Apr,ECORZN4,7,3600,3600,754,15,N
KTV,4,6,RL,M,892,DN,1,35,B,E,25-Apr,ECORZN4,6,3600,3600,892,100,N
KTV,5,5,RL,L,834,DN,1,24,B,E,25-Apr,ECORZN4,PF5,3600,3600,834,15,Y
KTV,6,4,RL,L,755,BOTH,1,24,B,E,25-Apr,ECORZN4,PF4,3600,3600,755,15,Y
KTV,7,3,RL,M,790,BOTH,1,24,B,E,25-Apr,ECORZN4,PF3,3600,3600,790,100,Y
KTV,8,2,RL,M,897,UP,1,35,B,E,25-Apr,ECORZN4,PF2,3600,3600,897,100,Y
KTV,9,1,RL,L,874,BOTH,1,24,B,E,25-Apr,ECORZN4,PF1,3600,3600,874,15,Y
KUK,1,5,RL,M,905,DN,1,35,B,E,25-May,SCTN - WAT1,PF5,3600,3600,905,100,Y
KUK,2,4,RL,L,708,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF4,3600,3600,708,15,Y
KUK,3,3,RL,M,743,BOTH,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,743,100,Y
KUK,4,2,RL,M,769,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,769,100,Y
KUK,5,1,RL,L,763,UP,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,763,15,Y
NML,1,1,RL,M,877,DN,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,877,100,Y
NML,2,2,RL,M,726,UP,1,35,B,E,25-May,SCTN - WAT1,2,3600,3600,726,100,N
NML,3,3,RL,L,703,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF2,3600,3600,703,15,Y
NWP,1,5,RL,S,809,BOTH,1,24,B,E,28-May,SCTN - WAT1,5,3600,3600,809,0,Y
NWP,2,4,RL,L,674,BOTH,1,35,B,E,28-May,SCTN - WAT1,PF4,3600,3600,674,15,Y
NWP,3,3,RL,M,756,DN,1,24,B,E,28-May,SCTN - WAT1,PF3,3600,3600,756,100,N
NWP,4,2,RL,M,758,UP,1,35,B,E,28-May,SCTN - WAT1,2,3600,3600,758,100,N
NWP,5,1,RL,L,691,UP,1,24,B,E,28-May,SCTN - WAT1,PF1,3600,3600,691,15,Y
PDU,1,BTSDG,RL,L,300,BOTH,1,35,B,E,25-May,SCTN - WAT1,BTSDG,3600,3600,300,15,N
PDU,2,4,RL,S,687,BOTH,1,24,B,E,25-May,SCTN - WAT1,4,3600,3600,687,0,N
PDU,3,3,RL,M,714,DN,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,714,100,Y
PDU,4,2,RL,M,769,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,769,100,Y
PDU,5,1,RL,S,687,UP,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,687,0,Y
PSA,1,CL10,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,1,120,180,0,15,N
PSA,2,CL9,RL,M,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,2,120,180,0,100,N
PSA,3,CL8,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,3,120,180,0,15,N
PSA,4,DL00P7,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,4,120,180,0,15,N
PSA,5,DLOOP6,RL,M,1,DN,1,0,B,E,20-Mar,SCTN - KURKSB,5,120,180,0,100,N
PSA,6,DNML5,RL,L,1,DN,1,0,B,E,20-Mar,SCTN - KURKSB,6,120,180,0,15,Y
PSA,7,UPML4,RL,L,1,DN,1,0,B,E,20-Mar,SCTN - KURKSB,7,120,180,0,15,Y
PSA,8,CL3,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,8,120,180,0,15,Y
PSA,9,CL2,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,9,120,180,0,15,Y
PSA,10,UL1,RL,L,1,BOTH,1,0,B,E,20-Mar,SCTN - KURKSB,10,120,180,0,15,N
PUN,1,4,RL,L,704,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF3,3600,3600,704,15,Y
PUN,2,3,RL,M,738,DN,1,35,B,E,25-May,SCTN - WAT1,3,3600,3600,738,100,N
PUN,3,2,RL,M,751,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,751,100,Y
PUN,4,1,RL,L,714,UP,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,714,15,Y
RMZ,1,1,RL,M,1,BOTH,1,1,B,E,25-May,SCTN - WAT1,1,0,0,0,100,N
RMZ,2,2,RL,M,1,BOTH,1,0,B,E,24-Jun,SATS,2,0,0,0,110,N
SGDM,1,1,RL,L,738,DN,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,738,15,Y
SGDM,2,2,RL,M,760,DN,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,760,100,Y
SGDM,3,3,RL,M,758,UP,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,758,100,Y
SGDM,4,4,RL,L,702,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF4,3600,3600,702,15,Y
TIU,1,1,RL,L,703,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,703,15,Y
TIU,2,2,RL,M,754,DN,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,754,100,Y
TIU,3,3,RL,M,731,UP,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,731,100,Y
TIU,4,4,RL,L,703,UP,1,24,B,E,25-May,SCTN - WAT1,PF4,3600,3600,703,15,Y
ULM,1,4,RL,L,771,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF4,3600,3600,771,15,Y
ULM,2,3,RL,M,791,DN,1,35,B,E,25-May,SCTN - WAT1,PF3,3600,3600,791,100,Y
ULM,3,2,RL,M,746,UP,1,35,B,E,25-May,SCTN - WAT1,PF2,3600,3600,746,100,Y
ULM,4,1,RL,L,735,UP,1,24,B,E,25-May,SCTN - WAT1,PF1,3600,3600,735,15,Y
VZM,1,9,RL,M,718,BOTH,1,35,B,E,25-May,SCTN - WAT1,9,3600,3600,718,100,N
VZM,2,8,RL,M,736,UP,1,35,B,E,25-May,SCTN - WAT1,8,3600,3600,736,100,N
VZM,3,7,RL,M,676,UP,1,35,B,E,25-May,SCTN - WAT1,7,3600,3600,678,100,N
VZM,4,6,RL,M,724,DN,1,35,B,E,25-May,SCTN - WAT1,6,3600,3600,724,100,N
VZM,5,5,RL,L,669,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF5,3600,3600,669,15,Y
VZM,6,4,RL,M,820,DN,1,24,B,E,25-May,SCTN - WAT1,PF4,3600,3600,820,100,Y
VZM,7,3,RL,M,695,UP,1,24,B,E,25-May,SCTN - WAT1,PF3,3600,3600,695,100,Y
VZM,8,2,RL,L,651,BOTH,1,24,B,E,25-May,SCTN - WAT1,PF2,3600,3600,651,15,Y
