MAVSTTNCODE,MAVNEXTSTTN,MACHPOSITION,MANVPOSITION,MANLINES,MADMDFYTIME,MAVMDFYBY
ALM,ALM,M,1,5,30-Mar,WAT1
ALM,KPL,L,1,3,15-Jul,WAT1
ALM,KUK,R,1,3,15-Jul,WAT1
CHE,CHE,M,1,5,30-Mar,WAT1
CHE,DUSI,L,1,2,15-Jul,WAT1
CHE,ULM,R,1,2,15-Jul,WAT1
CPP,CPP,M,1,5,30-Mar,WAT1
CPP,GVI,L,1,2,15-Jul,WAT1
CPP,SGDM,R,1,2,15-Jul,WAT1
DUSI,CHE,R,1,2,15-Jul,WAT1
DUSI,DUSI,M,1,4,05-Apr,WAT1
DUSI,PDU,L,1,2,15-Jul,WAT1
GVI,CPP,R,1,2,15-Jul,WAT1
GVI,GVI,M,1,4,30-Mar,WAT1
GVI,NML,L,1,2,15-Jul,WAT1
KBM,KBM,M,1,4,30-Mar,WAT1
KBM,NWP,R,1,2,15-Jul,WAT1
KBM,TIU,L,1,2,15-Jul,WAT1
KPL,ALM,R,1,3,15-Jul,WAT1
KPL,KPL,M,1,6,30-Mar,WAT1
KPL,KTV,L,1,3,15-Jul,WAT1
KTV,KPL,R,2,3,25-Apr,ECORZN4
KTV,KTV,M,1,9,25-Apr,ECORZN4
KTV,MVW,R,1,2,25-Apr,ECORZN4
KTV,PDT,L,1,4,25-Apr,ECORZN4
KUK,ALM,L,1,3,15-Jul,WAT1
KUK,KUK,M,1,5,30-Mar,WAT1
KUK,VZM,R,1,3,15-Jul,WAT1
NML,GVI,R,1,2,15-Jul,WAT1
NML,NML,M,1,3,30-Mar,WAT1
NML,VZM,L,1,2,15-Jul,WAT1
NWP,KBM,L,2,2,15-Jul,WAT1
NWP,NWP,M,1,5,30-Mar,WAT1
NWP,PLH,L,1,1,30-Mar,WAT1
NWP,PUN,R,1,2,15-Jul,WAT1
PDU,DUSI,R,1,2,15-Jul,WAT1
PDU,PDU,M,1,5,05-Apr,WAT1
PDU,SGDM,L,1,2,15-Jul,WAT1
PSA,PSA,M,1,10,31-Oct,CRIS
PSA,PUN,L,1,2,15-Jul,WAT1
PSA,SUDV,R,1,2,28-Feb,KURKSB
PUN,NWP,L,1,2,15-Jul,WAT1
PUN,PSA,R,1,2,15-Jul,WAT1
PUN,PUN,M,1,4,05-Apr,WAT1
SGDM,CPP,L,1,2,15-Jul,WAT1
SGDM,PDU,R,1,2,15-Jul,WAT1
SGDM,SGDM,M,1,4,30-Mar,WAT1
TIU,KBM,R,1,2,15-Jul,WAT1
TIU,TIU,M,1,4,30-Mar,WAT1
TIU,ULM,L,1,2,15-Jul,WAT1
ULM,CHE,L,1,2,15-Jul,WAT1
ULM,TIU,R,1,2,15-Jul,WAT1
ULM,ULM,M,1,4,30-Mar,WAT1
VZM,GTLM,R,1,2,30-Mar,WAT1
VZM,KUK,L,1,3,15-Jul,WAT1
VZM,NML,R,2,2,15-Jul,WAT1
VZM,VZM,M,1,9,30-Mar,WAT1
