TRAINID,PROPOSAL_ID,SOURCE,DESTINATION,TRAIN_NUMBER,TRAIN_NAME,ROUTE_TYPE,TRAIN_TYPE,DAY_OF_SERVICES,NO_OF_COACHES,TRAIN_COMPOSITION,REVERSE_TRAIN_NUMBER,FORECOLOR,VALIDFROM,VALIDTO
808459,12844,ADI,PURI,12844,ADI-PURI S/F EXP.,C,SUF,"1,0,0,1,0,1,1",22,"LWLRRM-2,LS-5,LWACCW-1,LWACCN-4,LWCBAC-1,LWSCN-9",12843,Red,20-Aug-25,31-Dec-99
806015,7029,AGTL,CHZ,7029,AGTL-CHZ,C,TOD,"0,0,0,0,1,0,0",23,,7030,Red,11-Jul-25,02-Oct-25
807406,7029,AGTL,CHZ,7029,AGTL-CHZ,C,TOD,"0,0,0,0,1,0,0",23,,7030,Red,03-Oct-25,31-Jan-99
807922,13352,ALLP,DHN,13352,ALLEPY-DHANBAD EXPRESS,C,MEX,"1,1,1,1,1,1,1",22,"SLR-2,GS-4,WGSCN-12,WGACCN-2,WGACCW-1,WGCB-1",13351,Red,14-Aug-25,31-Dec-99
808048,20808,ASR,VSKP,20808,ASR-VSKP SF  HIRAKUD  EXP,C,SUF,"0,0,1,0,0,1,1",20,,20807,Red,13-Aug-25,01-Sep-30
803828,660,AZA,KOK,660,AZA-KOKG PCET SPL,C,PEXP,"0,0,0,0,0,1,0",15,,659,Red,21-May-25,31-Jan-26
786039,18525,BAM,VSKP,18525,BAM-VSKP EXPRESS,C,MEX,"1,1,1,1,1,1,1",10,,18526,Red,01-Jan-25,31-Dec-99
784479,20837,BBS,JNRD,20837,BBS-JNRD SUF,C,SUF,"1,1,1,1,1,1,1",12,,20838,Red,01-Jan-25,31-Dec-99
794588,20853,BBS,MAS,20853,BBS-MAS WEEKLY EXP,C,SUF,"0,0,0,1,0,0,0",21,"LWLRRM-2,LS5-2,LWSCN-11,LWACCN-4,LWACCW-1,LWCBAC-1",,Red,06-Mar-25,31-Dec-99
794582,20851,BBS,PDY,20851,BBS-PDY SF EXP,C,SUF,"0,1,0,0,0,0,0",20,,,Red,04-Mar-25,31-Dec-99
784450,68419,BBS,PSA,68419,BBS-PSA MEMU,C,MEMU,"1,1,1,1,1,1,1",12,,,Blue,01-Jan-25,31-Dec-99
800609,22882,BBS,PUNE,22882,BBS-PUNE S/F EXP,C,SUF,"0,1,0,0,0,0,0",20,,22881,Red,25-Mar-25,31-Dec-99
804328,20849,BBS,RMM,20849,BBS-RMM WEEKLY S.F. EXP.,C,SUF,"0,0,0,0,1,0,0",20,,,Red,07-Jun-25,31-Dec-99
