station,distance,arrival,departure,train_type,train_number
Mumbai CST,0.0,06:00:00,06:15:00,goods,1
Dadar,57.1,07:31:00,07:46:00,goods,1
Kurla,114.3,09:02:00,09:17:00,goods,1
Thane,171.4,10:33:00,10:48:00,goods,1
Kalyan,228.6,12:04:00,12:19:00,goods,1
Karjat,285.7,13:35:00,13:50:00,goods,1
Lonavala,342.9,15:06:00,15:21:00,goods,1
Pune,400.0,16:37:00,16:52:00,goods,1
Mumbai CST,0.0,08:00:00,08:15:00,goods,2
Dadar,57.1,09:31:00,09:46:00,goods,2
Kurla,114.3,11:02:00,11:17:00,goods,2
Thane,171.4,12:33:00,12:48:00,goods,2
Kalyan,228.6,14:04:00,14:19:00,goods,2
Karjat,285.7,15:35:00,15:50:00,goods,2
Lonavala,342.9,17:06:00,17:21:00,goods,2
Pune,400.0,18:37:00,18:52:00,goods,2
Mumbai CST,0.0,10:00:00,10:15:00,goods,3
Dadar,57.1,11:31:00,11:46:00,goods,3
Kurla,114.3,13:02:00,13:17:00,goods,3
Thane,171.4,14:33:00,14:48:00,goods,3
Kalyan,228.6,16:04:00,16:19:00,goods,3
Karjat,285.7,17:35:00,17:50:00,goods,3
Lonavala,342.9,19:06:00,19:21:00,goods,3
Pune,400.0,20:37:00,20:52:00,goods,3
Mumbai CST,0.0,07:00:00,07:05:00,passenger,1
Dadar,57.1,08:02:00,08:07:00,passenger,1
Kurla,114.3,09:04:00,09:09:00,passenger,1
Thane,171.4,10:06:00,10:11:00,passenger,1
Kalyan,228.6,11:08:00,11:13:00,passenger,1
Karjat,285.7,12:10:00,12:15:00,passenger,1
Lonavala,342.9,13:12:00,13:17:00,passenger,1
Pune,400.0,14:14:00,14:19:00,passenger,1
Mumbai CST,0.0,09:00:00,09:05:00,passenger,2
Dadar,57.1,10:02:00,10:07:00,passenger,2
Kurla,114.3,11:04:00,11:09:00,passenger,2
Thane,171.4,12:06:00,12:11:00,passenger,2
Kalyan,228.6,13:08:00,13:13:00,passenger,2
Karjat,285.7,14:10:00,14:15:00,passenger,2
Lonavala,342.9,15:12:00,15:17:00,passenger,2
Pune,400.0,16:14:00,16:19:00,passenger,2
Mumbai CST,0.0,11:00:00,11:05:00,passenger,3
Dadar,57.1,12:02:00,12:07:00,passenger,3
Kurla,114.3,13:04:00,13:09:00,passenger,3
Thane,171.4,14:06:00,14:11:00,passenger,3
Kalyan,228.6,15:08:00,15:13:00,passenger,3
Karjat,285.7,16:10:00,16:15:00,passenger,3
Lonavala,342.9,17:12:00,17:17:00,passenger,3
Pune,400.0,18:14:00,18:19:00,passenger,3
Mumbai CST,0.0,06:30:00,06:33:00,express,1
Dadar,57.1,07:15:00,07:18:00,express,1
Kurla,114.3,08:00:00,08:03:00,express,1
Thane,171.4,08:45:00,08:48:00,express,1
Kalyan,228.6,09:30:00,09:33:00,express,1
Karjat,285.7,10:15:00,10:18:00,express,1
Lonavala,342.9,11:00:00,11:03:00,express,1
Pune,400.0,11:45:00,11:48:00,express,1
Mumbai CST,0.0,08:30:00,08:33:00,express,2
Dadar,57.1,09:15:00,09:18:00,express,2
Kurla,114.3,10:00:00,10:03:00,express,2
Thane,171.4,10:45:00,10:48:00,express,2
Kalyan,228.6,11:30:00,11:33:00,express,2
Karjat,285.7,12:15:00,12:18:00,express,2
Lonavala,342.9,13:00:00,13:03:00,express,2
Pune,400.0,13:45:00,13:48:00,express,2
