station,distance,arrival,departure,train_type,train_number
Nagpur,0.0,06:00:00,06:15:00,goods,1
Wardha,58.3,07:32:00,07:47:00,goods,1
Badnera,116.7,09:04:00,09:19:00,goods,1
Akola,175.0,10:36:00,10:51:00,goods,1
Bhusawal,233.3,12:08:00,12:23:00,goods,1
Jalgaon,291.7,13:40:00,13:55:00,goods,1
Manmad,350.0,15:12:00,15:27:00,goods,1
Nagpur,0.0,08:00:00,08:15:00,goods,2
Wardha,58.3,09:32:00,09:47:00,goods,2
Badnera,116.7,11:04:00,11:19:00,goods,2
Akola,175.0,12:36:00,12:51:00,goods,2
Bhusawal,233.3,14:08:00,14:23:00,goods,2
Jalgaon,291.7,15:40:00,15:55:00,goods,2
Manmad,350.0,17:12:00,17:27:00,goods,2
Nagpur,0.0,10:00:00,10:15:00,goods,3
Wardha,58.3,11:32:00,11:47:00,goods,3
Badnera,116.7,13:04:00,13:19:00,goods,3
Akola,175.0,14:36:00,14:51:00,goods,3
Bhusawal,233.3,16:08:00,16:23:00,goods,3
Jalgaon,291.7,17:40:00,17:55:00,goods,3
Manmad,350.0,19:12:00,19:27:00,goods,3
Nagpur,0.0,07:00:00,07:05:00,passenger,1
Wardha,58.3,08:03:00,08:08:00,passenger,1
Badnera,116.7,09:06:00,09:11:00,passenger,1
Akola,175.0,10:09:00,10:14:00,passenger,1
Bhusawal,233.3,11:12:00,11:17:00,passenger,1
Jalgaon,291.7,12:15:00,12:20:00,passenger,1
Manmad,350.0,13:18:00,13:23:00,passenger,1
Nagpur,0.0,09:00:00,09:05:00,passenger,2
Wardha,58.3,10:03:00,10:08:00,passenger,2
Badnera,116.7,11:06:00,11:11:00,passenger,2
Akola,175.0,12:09:00,12:14:00,passenger,2
Bhusawal,233.3,13:12:00,13:17:00,passenger,2
Jalgaon,291.7,14:15:00,14:20:00,passenger,2
Manmad,350.0,15:18:00,15:23:00,passenger,2
Nagpur,0.0,11:00:00,11:05:00,passenger,3
Wardha,58.3,12:03:00,12:08:00,passenger,3
Badnera,116.7,13:06:00,13:11:00,passenger,3
Akola,175.0,14:09:00,14:14:00,passenger,3
Bhusawal,233.3,15:12:00,15:17:00,passenger,3
Jalgaon,291.7,16:15:00,16:20:00,passenger,3
Manmad,350.0,17:18:00,17:23:00,passenger,3
Nagpur,0.0,06:30:00,06:33:00,express,1
Wardha,58.3,07:16:00,07:19:00,express,1
Badnera,116.7,08:02:00,08:05:00,express,1
Akola,175.0,08:48:00,08:51:00,express,1
Bhusawal,233.3,09:34:00,09:37:00,express,1
Jalgaon,291.7,10:20:00,10:23:00,express,1
Manmad,350.0,11:06:00,11:09:00,express,1
Nagpur,0.0,08:30:00,08:33:00,express,2
Wardha,58.3,09:16:00,09:19:00,express,2
Badnera,116.7,10:02:00,10:05:00,express,2
Akola,175.0,10:48:00,10:51:00,express,2
Bhusawal,233.3,11:34:00,11:37:00,express,2
Jalgaon,291.7,12:20:00,12:23:00,express,2
Manmad,350.0,13:06:00,13:09:00,express,2
