station,distance,arrival,departure,train_type,train_number
Jhansi,0.0,06:00:00,06:15:00,goods,1
Gwalior,62.5,07:38:00,07:53:00,goods,1
Morena,125.0,09:16:00,09:31:00,goods,1
Agra,187.5,10:54:00,11:09:00,goods,1
Mathura,250.0,12:32:00,12:47:00,goods,1
Jhansi,0.0,08:00:00,08:15:00,goods,2
Gwalior,62.5,09:38:00,09:53:00,goods,2
Morena,125.0,11:16:00,11:31:00,goods,2
Agra,187.5,12:54:00,13:09:00,goods,2
Mathura,250.0,14:32:00,14:47:00,goods,2
Jhansi,0.0,10:00:00,10:15:00,goods,3
Gwalior,62.5,11:38:00,11:53:00,goods,3
Morena,125.0,13:16:00,13:31:00,goods,3
Agra,187.5,14:54:00,15:09:00,goods,3
Mathura,250.0,16:32:00,16:47:00,goods,3
Jhansi,0.0,07:00:00,07:05:00,passenger,1
Gwalior,62.5,08:07:00,08:12:00,passenger,1
Morena,125.0,09:14:00,09:19:00,passenger,1
Agra,187.5,10:21:00,10:26:00,passenger,1
Mathura,250.0,11:28:00,11:33:00,passenger,1
Jhansi,0.0,09:00:00,09:05:00,passenger,2
Gwalior,62.5,10:07:00,10:12:00,passenger,2
Morena,125.0,11:14:00,11:19:00,passenger,2
Agra,187.5,12:21:00,12:26:00,passenger,2
Mathura,250.0,13:28:00,13:33:00,passenger,2
Jhansi,0.0,11:00:00,11:05:00,passenger,3
Gwalior,62.5,12:07:00,12:12:00,passenger,3
Morena,125.0,13:14:00,13:19:00,passenger,3
Agra,187.5,14:21:00,14:26:00,passenger,3
Mathura,250.0,15:28:00,15:33:00,passenger,3
Jhansi,0.0,06:30:00,06:33:00,express,1
Gwalior,62.5,07:19:00,07:22:00,express,1
Morena,125.0,08:08:00,08:11:00,express,1
Agra,187.5,08:57:00,09:00:00,express,1
Mathura,250.0,09:46:00,09:49:00,express,1
Jhansi,0.0,08:30:00,08:33:00,express,2
Gwalior,62.5,09:19:00,09:22:00,express,2
Morena,125.0,10:08:00,10:11:00,express,2
Agra,187.5,10:57:00,11:00:00,express,2
Mathura,250.0,11:46:00,11:49:00,express,2
